"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","closed"
"46","CLEWowfkj-wKYJlQDqT1aw","Blow Bar Express Styling Salon","310 S Dale Mabry Hwy, Ste 110","Tampa","FL",33609,27.9419745389,-82.5053069603,4,55,1,"Makeup Artists, Blow Dry/Out Services, Beauty & Spas, Hair Salons, Nail Salons, Eyebrow Services","Monday"
"47","Q2sKrIaEZsFN7VNjkibyfQ","Accurate Window & Screen","5700 N Nebraska Ave","Tampa","FL",33604,27.9989575,-82.4514338,3.5,7,1,"Home Services, Windows Installation",NA
"50","nSyOBxBRMugT3sKeT4YWBg","South Cleaner & Tailor","6102 S MacDill Ave","Tampa","FL",33611,27.8798076,-82.4936332,3.5,9,0,"Sewing & Alterations, Local Services, Dry Cleaning & Laundry, Laundry Services","NA"
"51","SRexiuEsx1d9-dZVUsssQA","Brandon Burgers","1513 W Brandon Blvd","Brandon","FL",33511,27.9373704213,-82.3077001423,3.5,24,1,"Salad, Hot Dogs, Burgers, Restaurants, American (Traditional), Fast Food","NA"
"53","mHDBZmEH0Er3184YS83_LQ","Splash Car Wash & Lube","802 W Bloomingdale Ave","Brandon","FL",33511,27.8939198,-82.2943716,2.5,50,1,"Tires, Automotive, Auto Repair, Oil Change Stations, Auto Detailing, Car Wash","NA"
"54","XwoXi0M66RU6Gouq-DSDHw","G Peppers Grill & Tavern","8745 Gunn Hwy","Odessa","FL",33556,28.0921362,-82.5785736,4,82,1,"Restaurants, Mexican, American (Traditional)","NA"
"55","cSigjSbOfHR_mHGTCmJTaQ","Kids 'R' Kids of Waterset","6406 Covington Garden Dr","Apollo Beach","FL",33572,27.7705318,-82.3703483,4,6,1,"Child Care & Day Care, Education, Local Services, Preschools","Monday"
"56","8YJtf5v76SIz-4udyF4YmA","The Hideout Coffee House","218 Oakfield Dr","Brandon","FL",33511,27.9344684803,-82.2878021747,4.5,22,0,"Food, Coffee & Tea","NA"
"61","iBRXLFWD7PeSYDbKsd_JTw","Mai Thai Restaurant","875 E Bloomingdale Ave","Brandon","FL",33511,27.8915738378,-82.2725105,4.5,27,0,"Food, Ethnic Food, Specialty Food, Restaurants, Thai","NA"
"63","sUQ-OfJYSNfz-cimEjoaXQ","Soho Oasis Cafe","410 S Howard Ave","Tampa","FL",33606,27.9402059,-82.4828837,3.5,7,0,"Restaurants, Middle Eastern",NA
"66","z9wCTHYI2VZy9YIblwSsgg","The Silo Eatery Coffee Bakery","9036 Brittany Way, Bldg 18","Tampa","FL",33619,27.9464963776,-82.3555628732,4,5,0,"Coffee & Tea, Restaurants, Food, Cafes, Bakeries",NA
"67","pYC5fKcpj8GKjSAc7Sl3RQ","Main Exchange Barber Shop","3108 N Boundary Blvd","Tampa","FL",33602,27.8623633,-82.4981215,2,7,1,"Barbers, Beauty & Spas",NA
"68","Rz0KfP7YAZV_yQE8uIB0fg","El Sabor Boricua","11612 N Nebraska Ave","Tampa","FL",33612,28.0535153,-82.4534422,5,6,0,"Puerto Rican, Caribbean, Latin American, Restaurants","NA"
"73","REuCtUZ2MeehpDipAKBSmQ","Lens Crafters","2416 W Brandon Blvd","Brandon","FL",33511,27.9404107,-82.3217459,4,6,1,"Eyewear & Opticians, Shopping, Health & Medical, Optometrists","NA"
"74","c16lBET8GKbGZY6Aegm_2Q","L'Occitane en Provence","2223 N West Shore Blvd, #160","Tampa","FL",33607,27.9646718,-82.5206425,2.5,6,1,"Beauty & Spas, Shopping, Cosmetics & Beauty Supply, Skin Care",NA
"75","wFXwmrlV8TiBS4Ac2-W_9g","MOSI Food Truck Rally","4801 East Fowler Ave","Tampa","FL",33617,28.0536294,-82.4044188,3.5,10,0,"Festivals, Arts & Entertainment, Local Flavor, Restaurants, Food Stands","NA"
"77","516L9-ZWyqVgzqjP5uW7Jg","The Corner Cafe and Deli","100 S Ashley Dr, Ste 220","Tampa","FL",33602,27.9444574,-82.4578244,4,6,1,"Sandwiches, Cafes, Burgers, Food, Restaurants","NA"
"79","LFPJXiuM357JZ-d0vv6yxw","Wildout Animal & Pest Removal Tampa","13815 Cypress Village Cir","Tampa","FL",33618,28.0720088,-82.5109518,5,8,1,"Pest Control, Wildlife Control, Local Services, Gutter Services, Insulation Installation, Home Services","Monday"
"80","qsCLpTsXayYMJ3-lJj_fyA","Pretty In Paint","18841 State Rd 54","Lutz","FL",33558,28.1943032,-82.4986764,4.5,8,0,"Home Decor, Arts & Crafts, Kids Activities, Party & Event Planning, Active Life, Home & Garden, Event Planning & Services, Shopping","NA"
"81","u4cktT_mzitYexUsr_vKsw","Digestive Diseases Associates of Tampa Bay","876 S Parsons Ave","Brandon","FL",33511,27.9263727,-82.2859355,2,11,1,"Doctors, Health & Medical",NA
"82","c9xE6CyePzE1gONFxpTJWw","Appliance Center","14012 N Florida Ave","Tampa","FL",33613,28.0745649,-82.4599126,4.5,11,1,"Appliances & Repair, Local Services","NA"
"83","GMVVFox3a0ROMdofd68mZw","Affordable Lock & Security Solutions - Tampa","13908 N Florida Ave","Tampa","FL",33613,28.07347,-82.459879,4,12,1,"Keys & Locksmiths, Professional Services, Security Systems, Home Services, Security Services","NA"
"86","iONfxRWQqA8pAPMZFNLaug","Nutrishop","2940 Providence Lakes Blvd","Brandon","FL",33511,27.9210171,-82.3272616,4,9,1,"Weight Loss Centers, Food, Health Markets, Health & Medical, Specialty Food, Shopping, Vitamins & Supplements, Personal Shopping","Monday"
"87","0HpYaBbRqaG1df4JckJoUw","Westchase Compounding Pharmacy","12617 Race Track Rd","Tampa","FL",33626,28.0662007,-82.6354932,3,11,0,"Drugstores, Shopping","NA"
"91","dIpTuL2T1L98GQGU17IeSw","The Bricks","1327 E 7th Ave","Tampa","FL",33605,27.9600238,-82.4444005,4,548,1,"Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian","Monday"
"92","FW1PXpUq-yOs-5O_gqz3AQ","Big Mike's BBQ","6901 Sheldon Rd","Tampa","FL",33615,28.0114997,-82.5828401,4.5,32,0,"Restaurants, Barbeque","NA"
"95","yuangT-PWlF-YRbgN6M02A","Jos A Bank","2223 S West Shore Blvd","Tampa","FL",33629,27.964721464,-82.5198229405,2,9,0,"Shoe Stores, Fashion, Shopping, Formal Wear, Accessories, Men's Clothing","NA"
"96","quv6eMqyJ1NIkjPgIgS65g","Gasparilla Pirate Festival","Bayshore Blvd","Tampa","FL",33606,27.9279550671,-82.4784045787,4.5,31,1,"Local Flavor, Arts & Entertainment, Festivals",NA
"97","6_Zf2QsRHCH1RhbzA9inyw","Starbucks","8602 Hillsborough Ave","Tampa","FL",33615,27.9963703,-82.580954,3,56,1,"Coffee & Tea, Food","NA"
"100","GJpAeUSsPIsVK6_0Lfuekg","Auntie Anne's","8094 Citrus Park Town Center Mall","Tampa","FL",33625,28.0686496,-82.5751466,2,7,1,"Pretzels, Shopping Centers, Food, Shopping, Bakeries",NA
"101","-H6s1c2NRic5UKxXqi4FdQ","Bagelicious and More","1232 Kingsway Rd","Brandon","FL",33510,27.9588017985,-82.2789713027,3.5,7,0,"Food, Breakfast & Brunch, Restaurants, Bagels, Coffee & Tea","NA"
"102","Rm6DNK_kpJ55mai3bL4qTA","Divine Designs Floral & Tropicals","208 Oakfield Dr","Brandon","FL",33511,27.9345506,-82.2874462,4,6,1,"Event Planning & Services, Wedding Planning, Florists, Shopping, Flowers & Gifts","NA"
"104","AaiXrV5sFYedDtx1hBbx7w","Manor Riverwalk Luxury Apartments by TRG Management Company","202 South Parker St","Tampa","FL",33606,27.944153,-82.46033,3.5,9,0,"Apartments, Real Estate, Home Services, Property Management","Monday"
"105","CC7YefPM9zc080JHOKfI1w","Xtreme Adventures","24810 State Rd 54","Lutz","FL",33559,28.185208,-82.406265,2.5,26,0,"Amusement Parks, Arts & Entertainment, Kids Activities, Team Building Activities, Event Planning & Services, Venues & Event Spaces, Challenge Courses, Arcades, Fitness & Instruction, Gyms, Laser Tag, Active Life","NA"
"111","O4oK6A5wJuVWpYP4IMgUqw","Journeys Shoes","2131 University Square Mall","Tampa","FL",33612,28.056632,-82.4348671,3,5,1,"Fashion, Shopping, Shoe Stores",NA
"113","A1lAqN3SOaBLoo6NqVcy4Q","McDonald's","11110 Causeway Blvd","Brandon","FL",33511,27.925332,-82.325395,2,6,1,"Sandwiches, Burgers, Food, Fast Food, Restaurants, Coffee & Tea","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
"117","8JEOmVGQffkr6xtn4vvplQ","Pita Kebob","3028 E College Ave","Ruskin","FL",33570,27.713401,-82.394372,4,142,1,"Kebab, Mediterranean, Middle Eastern, Lebanese, Restaurants, Greek, Food","Monday"
"119","Cc1HSkYiRiDUquHiz2vdIg","Tire Choice Auto Service Centers","4224 Gunn Hwy","Tampa","FL",33618,28.0424255,-82.5124529,4,7,1,"Automotive, Auto Repair, Oil Change Stations, Tires","Monday"
"120","O5zuQH_YowDC-rsK8ZEXCA","Tin Drum Asia Cafe","3867Tampa Rd, Ste 305","Tampa","FL",34677,28.0451503082,-82.6812278379,3,62,0,"Asian Fusion, Restaurants","NA"
"121","7fuFAkD_NqV5PQ7cA0Yzlg","Angelica Beauty and Waxing","2506 S Macdill Ave, Ste C","Tampa","FL",33629,27.923037933,-82.4930161956,4.5,42,1,"Hair Removal, Eyelash Service, Beauty & Spas, Skin Care, Waxing, Sugaring","Monday"
"127","yWSz17UUBD_yaY0T23mo_w","Andro Beavers & Associates","","Brandon","FL",33511,27.9082595,-82.2909146,5,5,1,"Home Services, Painters, Contractors, Pressure Washers, Shopping, Fences & Gates, Flooring, Home & Garden, Door Sales/Installation, Kitchen & Bath, Home Inspectors","NA"
"129","vMp55ea__Pk0fYbBDCn6jg","Dunkin'","808 E Bloomingdale Ave","Brandon","FL",33511,27.8940624,-82.2719595,2,23,1,"Food, Donuts, Coffee & Tea","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
"131","0gKgJdXhC9ps47oLH8Jd0Q","Aj's Bikes and Boards","1538 Bloomingdale Ave","Valrico","FL",33596,27.894047,-82.2572688,4.5,44,1,"Local Services, Shopping, Sporting Goods, Bike Repair/Maintenance, Bikes, Active Life, Bike Rentals","NA"
"132","Tuzyf8Z-R_i661AeJAc9QQ","Indigo Point","1850 Providence Lakes Blvd","Brandon","FL",33511,27.9112563,-82.315876,2,5,1,"Apartments, Home Services, Real Estate","NA"
"136","71U7MxQEhwitJOm4CQpRwQ","KELP Sushi Joint","3401 W Bay To Bay Blvd, Ste D","Tampa","FL",33629,27.920067,-82.4989209,4,325,1,"Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls","Monday"
"138","-AjSXsdPtBhWl0kY1-QsoA","Optilife Chiropractic","8377 Gunn Hwy","Tampa","FL",33626,28.083473,-82.5772677,5,30,1,"Chiropractors, Physical Therapy, Massage Therapy, Health & Medical","NA"
"139","_-SSObHzljeA11HAF0lIrQ","Hardee's","4116 W Hillsborough Ave","Tampa","FL",33614,27.9955205,-82.512474,2.5,27,0,"Restaurants, Fast Food, Burgers","NA"
"141","Al72SF73U4_WBqY112IhUQ","Glow by Natalia Barlow","","Tampa","FL",33609,27.9407591,-82.5104655,5,13,1,"Beauty & Spas, Estheticians, Makeup Artists, Hair Removal, Skin Care","NA"
"147","EjzWyITI75CKSKb6RGCG_Q","Sonny's BBQ","8106 W Hillsborough Avenue","Tampa","FL",33615,27.9958415,-82.5722699,3,11,0,"Barbeque, Restaurants, Event Planning & Services, Caterers","NA"
"149","lCBLhf37pnkyZ-1MWNF3ag","Gandolfo's New York Deli","12908 N Dale Mabry Hwy","Tampa","FL",33618,28.0642084807,-82.5053286552,2.5,23,0,"Delis, Restaurants",NA
"153","DJdOxtjoSwQf9O_JPlanfQ","Gifted Hands Barber Shop","5823 S Dale Mabry Hwy","Tampa","FL",33611,27.882396,-82.507136,5,6,1,"Barbers, Beauty & Spas","NA"
"154","rw0iJ3QmvKv5JxL20lbCUw","Esthetic Style","9350 Bay Plaza Blvd","Tampa","FL",33619,27.947168,-82.347765,3,6,1,"Day Spas, Beauty & Spas","NA"
"155","4krKemnM4UAcZ2oNarwNrw","Saks OFF 5TH","2416 Grand Cypress Dr, Ste 301","Lutz","FL",33559,28.1919576,-82.3915434,3,7,1,"Women's Clothing, Shopping, Outlet Stores, Men's Clothing, Fashion","NA"
"156","g_VAg9LXIiiV2WMnGQCxOA","Legacy Coins","1628 Dale Mabry Hwy","Lutz","FL",33548,28.1815811,-82.4675332,5,5,1,"Pawn Shops, Shopping, Antiques, Jewelry, Gold Buyers, Watches","NA"
"158","vVm2qH6n4tWzN_qv6PBIVw","The Humming Bird Jerk house","17631 Bruce B Downs Blvd, Unit F","Tampa","FL",33647,28.130283,-82.364992,3.5,32,1,"Restaurants, Caribbean","NA"
"160","jBCgQ6nZDsMCWU7eaSxOpw","Whaley's Blazin BBQ","18213 N US Highway 41","Lutz","FL",33549,28.137927,-82.4626332,4.5,58,0,"Sandwiches, Restaurants, Barbeque, Food Trucks, Food","NA"
"162","vBEeR5ioxlvzKZN_pgnZYA","Golden Spirit Alpaca Ranch","10937 Tarpon Springs Rd","Odessa","FL",33556,28.1458808,-82.6099872,5,11,1,"Ranches, Arts & Entertainment, Farms",NA
"163","TLYSUOV-_aL33mAjH5SY9Q","Sonic Transportation & Logistics","5002 W Nassau St","Tampa","FL",33607,27.953914,-82.5285509,2,40,1,"Couriers & Delivery Services, Professional Services, Local Services, Taxidermy","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
"165","sZyBB8wv0O1We1x40-Edug","Dunkin'","11404 S US Hwy 301","Riverview","FL",33569,27.834780999,-82.3281975657,2.5,30,1,"Donuts, Food, Bagels, Coffee & Tea",NA
"168","5cz1XbgalpQ89gsNQwneVQ","Portofino's Italian Kitchen","6742 Memorial Hwy","Tampa","FL",33615,27.9955961525,-82.5828616138,4,59,0,"Restaurants, Pizza, Italian","Monday"
"169","9yl6MnXqbzIh0NH2wNreFw","Lincoln Tactical","5809 S Dale Mabry Hwy","Tampa","FL",33616,27.8832644164,-82.5065423958,2.5,14,0,"Sporting Goods, Shopping, Guns & Ammo","NA"
"171","rBE5TT_ndOOczNBrbRnJwA","Dio Modern Mediteranean","519 N Franklin St","Tampa","FL",33602,27.9491200666,-82.458398826,4,325,1,"Greek, Restaurants, Mediterranean","NA"
"172","qDz6xRQKlpKUYJzbYnuoZA","Nu Look Lawn Service Corp.","","Tampa","FL",33602,27.9535960893,-82.4568544228,4.5,10,1,"Tree Services, Gutter Services, Office Cleaning, Professional Services, Lawn Services, Landscaping, Home Services","Monday"
"173","oRZzKWdyMQld6N_y4UWkAg","Terra Sur Cafe","5330 Ehrlich Rd, Ste 103","Tampa","FL",33624,28.0819277157,-82.5391477434,4,316,1,"Latin American, Restaurants, Peruvian, Seafood","Monday"
"174","KwCZuRlaeciJsOXkCOtjDA","Meat Depot","1401 E Fowler Ave","Tampa","FL",33612,28.0533777,-82.4442952,3.5,10,1,"Butcher, Food, Specialty Food, Meat Shops, Grocery","NA"
"175","biGIDbCGsAZJ-Y4zyV_b_A","Taza Mediterranean Grill","1076 East Brandon Blvd","Brandon","FL",33511,27.940439,-82.266787,4.5,65,0,"Vegan, Restaurants, Wraps, Mediterranean, Salad, Middle Eastern","NA"
"177","Gv-DejGMGZOLCjju3UVQRA","Vision Ace Hardware","8538 Gunn Hwy, Unit 10","Odessa","FL",33556,28.085704491,-82.5806240436,4,16,1,"Shopping, Home Services, Building Supplies, Paint Stores, Nurseries & Gardening, Hardware Stores, Home & Garden","Monday"
"178","ZLerfIo2cDSPXJ9K57WYxQ","Studio510","510 S Howard Ave","Tampa","FL",33611,27.887178,-82.493669,4.5,12,1,"Beauty & Spas, Nail Salons, Hair Stylists, Hair Salons, Skin Care, Men's Hair Salons, Blow Dry/Out Services","NA"
"180","T1c8TnTri2wEmb7C62l4dA","Tampa Smile","3404 S Dale Mabry Ave","Tampa","FL",33629,27.9126992,-82.5057937,4,17,1,"Cosmetic Dentists, Orthodontists, Endodontists, Pediatric Dentists, Oral Surgeons, Dentists, Health & Medical, General Dentistry","NA"
"181","Ouiw1DmBI-CFd2FEvC0jow","Advantage Rent A Car","5405 Airport Service Rd","Tampa","FL",33607,27.9636625,-82.5347651,1.5,14,1,"Car Rental, Hotels & Travel","NA"
"185","H2nFgEFitRk7ltE8IRH0xA","Taco Bell","4647 West Kennedy Blvd","Tampa","FL",33609,27.944918,-82.523213,2.5,42,1,"Restaurants, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food, Tacos","NA"
"188","8Nia3_R-rDFCL3W5lKtzDA","Smart Wheel Moving","2166 W Busch Blvd","Tampa","FL",33612,28.0329666187,-82.4811972206,3.5,5,1,"Packing Supplies, Junk Removal & Hauling, Home Services, Packing Services, Local Services, Shopping, Movers","NA"
"189","xc_5ChD0VcxsAxiBQOsHvA","US Heating and Air Conditioning","5418 56th Commerce Park Blvd","Tampa","FL",33610,27.987885,-82.39703,2,8,1,"Water Heater Installation/Repair, Home Services, Plumbing, Heating & Air Conditioning/HVAC",NA
"191","Ea2hPSFazxXITET4f6ZJhw","Beef 'O' Brady's","18421 N US Hwy 41","Lutz","FL",33549,28.140648,-82.461204,3,46,1,"American (Traditional), Pubs, Chicken Wings, Sports Bars, Sandwiches, Bars, Restaurants, Nightlife, Breakfast & Brunch","Monday"
"193","ZNfaufwJ0iug9Qz_mTluMw","Chase Bank","2001 N Dale Mabry Hwy","Tampa","FL",33607,27.959651,-82.505057,2.5,11,1,"Banks & Credit Unions, Financial Services","NA"
"194","_HcAoG6Jj_XTj4-XNEbo6Q","Fuzzy's Taco Shop","5621 E Fowler Ave, Units 201-207","Tampa","FL",33617,28.0533288743,-82.3928146398,3,172,1,"Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars","Monday"
"195","eKls_Iq7eCTnhCNr3GY9fA","Twisted Metal Offroad & Diesel","6113 Causeway Blvd","Tampa","FL",33619,27.9215203,-82.3866774,3.5,6,1,"Automotive, Transmission Repair, Oil Change Stations, Auto Parts & Supplies, Auto Repair, Commercial Truck Repair","NA"
"198","q40E5X_HdjeM_Kl1BE7Gtg","Orchid Thai Foods","17022 Palm Pointe Dr","Tampa","FL",33647,28.1184025,-82.3816714,4.5,62,0,"Asian Fusion, Restaurants, Thai","Monday"
"199","ljmtrOC0off1zJwDfLd0eA","25 Roses $10","4405 Kelly Rd","Tampa","FL",33615,27.982382,-82.564456,3.5,5,0,"Flowers & Gifts, Florists, Shopping",NA
"202","mZlz6wq17Vl0wEokdpPdWg","Banko Overhead Doors","5329 W Crenshaw St","Tampa","FL",33634,28.0160458,-82.531869,4.5,190,1,"Home Services, Contractors, Building Supplies, Door Sales/Installation, Garage Door Services","Monday"
"203","xTcttgI_Mbtwpzavj4lJ3Q","TownePlace Suites Tampa North/I-75 Fletcher","6800 Woodstork Rd","Tampa","FL",33637,28.0675319,-82.3719047,2.5,13,1,"Event Planning & Services, Hotels & Travel, Hotels","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
"206","QNxXsVPYcecUuhGRG-88OQ","Harvest Bowl Eatery & Market","6109 N Florida Ave","Tampa","FL",33604,28.002703,-82.4590917,4,101,1,"Wraps, American (New), Vegan, Breakfast & Brunch, Restaurants","NA"
"207","8QgzKWIcQovs1akgW_FSfw","Lutz Mail Depot - FedEx","18801 N Dale Mabry Hwy","Lutz","FL",33548,28.1453468023,-82.495735664,4.5,10,1,"Hotels & Travel, Couriers & Delivery Services, Passport & Visa Services, Post Offices, Local Services, Public Services & Government, Travel Services, Mailbox Centers","NA"
"209","hTyJhpH7Bl5moMWQb4Sosg","Island Fin Poké","6417 E County Line Rd, Ste 101","Tampa","FL",33647,28.169016,-82.356628,5,88,1,"Gluten-Free, Poke, Food, Restaurants, Hawaiian","Monday"
"211","GHFFp6jDIqO3U0G-HUcA-g","FYZ Auto Care","6212 Palm River Rd","Tampa","FL",33619,27.9420005,-82.3847235,3.5,8,1,"Auto Repair, Automotive, Oil Change Stations, Tires","NA"
"212","R_16PF-RdDfBcxjiY8K7eQ","South Beach Tanning Company","14407 N Dale Mabry Hwy","Tampa","FL",33618,28.0790112,-82.506131,3,9,1,"Beauty & Spas, Tanning, Tanning Beds, Spray Tanning","NA"
"215","159h-vlRcGnzwOTR29lQ8w","AT&T Store","13998 W Hillsborough Ave","Tampa","FL",33635,28.0329056723,-82.6479855,4,5,1,"Mobile Phones, IT Services & Computer Repair, Shopping, Local Services, Mobile Phone Accessories, Telecommunications","Monday"
"217","tjEKEDmyR_VmeBkJGwreLA","Dunkin'","7004 N. Dale Mabry Hwy","Tampa","FL",33614,28.0127575,-82.5055465,2,21,1,"Food, Donuts, Coffee & Tea","NA"
"219","1edb_UFIoPCuupT6TSFCTg","All Makes Collision Center","9101 N Nebraska Ave","Tampa","FL",33604,28.0324271,-82.4506645,5,12,1,"Automotive, Auto Repair",NA
"222","SmpGA80PKT0Y_t-wTxvASQ","Riverview Flea Market","7415 US Hwy 301 S","Riverview","FL",33578,27.874631,-82.328845,3.5,8,1,"Shopping, Flea Markets, Shopping Centers","NA"
"223","XsxcPxKdp8B3_-cCYmi8KA","GTE Federal Credit Union","300 E Madison St","Tampa","FL",33602,27.9486824,-82.4581395,1.5,14,1,"Financial Services, Banks & Credit Unions, Home Services, Real Estate, Mortgage Brokers",NA
"224","WcUS0B2iFLPAsdUZMwKkWw","Surf and Turf Cafe","101 N Franklin St","Tampa","FL",33602,27.9456571,-82.4567437,3,5,0,"Seafood, Restaurants, Sandwiches","NA"
"230","WvuPL2rp0EfxOLHsvhF66g","Salons by JC","3448 Lithia Pinecrest Rd","Valrico","FL",33596,27.8909008,-82.2411948,3.5,5,1,"Massage, Makeup Artists, Hair Salons, Cosmetics & Beauty Supply, Blow Dry/Out Services, Beauty & Spas, Hair Stylists, Skin Care, Shopping, Day Spas","NA"
"231","qRC7CkXf2jzEE-hyyEIElg","La Casa de Pan de Yuca","4013 W Linebaugh Ave, Ste 101","Tampa","FL",33624,28.0404766,-82.5107742,4.5,7,1,"Bakeries, Food","NA"
"232","p9tB3Fiszn1HMLUE-97K4g","Froyo Fresh","12211 W Linebaugh Ave","Tampa","FL",33626,28.0568259768,-82.6259098537,4,76,1,"Desserts, Event Planning & Services, Food, Caterers, Ice Cream & Frozen Yogurt","NA"
"234","Egb5gh3QnLx70PCFmcaMPQ","Sayroo's Bakery and Grocery","2028 S 50th St","Tampa","FL",33619,27.929337,-82.401051,4.5,18,1,"Food, Bakeries, Grocery, Specialty Food",NA
"238","3WfH4I8OmHMjTIFhPgh4Tw","Sweeties By Mili","11961 Sheldon Rd","Tampa","FL",33626,28.0575829,-82.5821986,3.5,16,0,"Bakeries, Food","NA"
