"text","sentiment"
"This place was horrible.. We will never eat here again.

Salsa had a white pubic hair and when we told our server he denied that it was a pubic hair & that it was from the onion that they add to salsa.

food not good. tostada was not crunchy, it was saggy and that is not how its suppose to be. 

chile relleno barely did had chile, you cannot even taste chile. it was just ground beef and 2 small piece of chile not like what i'm used to that you can actually see the whole chile stuffed with cheese and meat.",-0.7518
"It's Taco Bell. It's crap food, terrible service. Literally the only expectation is that the place is open when advertised. This place isn't. We went 20 minutes out of our way to get here to be told they weren't serving food, 20 minutes before they closed. The owner of this franchise should go bankrupt. He hires unqualified managers I would fire immediately.",-0.8934
"I live around the corner and thought this was going to be a fresh new restaurant in the failing district. The end result was $20 worth of what seemed like Gordo's cheese dip. Unbelievable. The server claimed it was made in house but there is no way. I eat this queso brand from Publix twice a week and there is no mistaking the decent, yet processed taste. Pairing this with the earlier review saying the restaurant ran out of queso yesterday, it may not be a coincidence.  I didn't have the heart to try the tacos. Maybe one day.",-0.7311
"Once again customer service or should I say bad customer service strikes again.  What is it with employees just looking at you with a blank stare and not speaking to you when you walk up to place an order?

That's just what happened here.  Mom and I walked up and about four employees chatting and not acknowledging us.  I ask him if he's ready and he just smiles.  I'm assuming the man with braids that told us the cashier with the blank stare would be right with us was the manager. Placed order and repeated it over and over and over until he got it right. Come on people......it's your job to serve.",-0.1027
"Disappointed tonight.  Sat at the bar for 5 minutes.  No service.  No one said a word to me.  No verbal acknowledgement.  Walked out gave my business elsewhere",-0.8271
"Worst customer service ever! We came in and sat for about 15 mins until the server came by and then after taking the order we waited 10 minutes just waiting on the waters. I forgot to mention we were a table of 4. Not a big party. So after being there for 25 mins we left without getting anything that we ordered not even the water. First time in this place and never coming back",-0.7684
"Terrible bar service.  Margaritas on rocks with no salt.  Took about 15 minutes to get our drinks/be waited on... and they were all ice. Female bartender looked like she hated her job and questioned us about the chips and salsa placed in front of us that we didn't order.  Drinks weren't good- all ice; salsa sucked.  We won't be back to eat or drink there.  

Call John Taffer, this place wouldn't survive a ""Bar Rescue"" undercover investigation.",-0.9383
"What the heck has happened to this place?? Use to be a reliable favorite but not any more.  Sat at the bar for 20 minutes and never even acknowledged... While waiting, heard several complaints regarding slow and incompetent service.  Too bad, this place was great...",-0.9154
"The fish tacos were very bland and you can't call the quesadilla a quesadilla who knows what that was and it wasn't good. We had to ask for napkins and silverware in a cup on table not cute or sanitary. Not a very good dining experience. However it gets a star because the sangria margarita was good.",-0.827
"WORST SERVICE EVER. Never even got our food; we waited over 30min for our food to arrive.  Come to find out when I went up to ask for my money back, the young lady behind the counter asked where the ""ticket for Tina is"" the other girl said ""I dont see one"". Seriously? Where has good customer service gone? Practically the entire staff walked past us at some point and not one person asked if my husband would like more tea, or said ""you haven't gotten your food yet?"" To check.  I had to rate them a star in order to leave a comment but in my opinion they get zero stars.",-0.1525
"I had high hopes. This place is about 5 minutes from where I live, so I figured I'd give it a try. I immediately thought it seemed like a Tijuana Flats wannabee. Sadly, it will remain a wannabee.

The entrance is hard to find. You have go on Fowler, and then turn in where Applebee's and Coca-Cola are located. It has indoor seating. and part of the the restaurant in open, leading to outside bench seating. You go up to the counter to place your order.

I gave this place two tries before reviewing. Both times it was disappointing. The first time I ordered the beef nachos. The ""nachos"" were tortilla chips with a little bit of feta cheese and I guess some beef. It took a long time to get our order, and the staff didn't know what went where. My boyfriend (who used to work in a restaurant), felt like he was working there. He had to go up to the kitchen window to get the food, which was wrong, and then had to read out the actual order. So, your customers are part of the staff? Additionally, they had a lot of staff of there, so what were they doing? The second time was possibly worse. Slow service again. My ""quesadilla"" was not filled with much of anything. The presentation is non-existent. I was told it looked like prison food. My food was served on a metal tray, and my side of sour cream was a blob on parchment paper. Both times I left hungry and unsatisfied.",-0.8645
"Myself and my family visited the restaurant Saturday evening around 8pm.  I ordered  2 steak nachos for dine in. We waited about 20minutes, and the food  came out, which was a nacho and a taco salad. I told the guy that brought the food to the table that the order was not correct and what it should have been.  While he was trying to find out what the mixup was, I tasted the steak nachos that he brought out.  The food was terrible!  When he came back over he said that I was charged for a taco salad and said that I would have to pay the difference for another nacho.  I said that was fine but I told him that the steak was chewy and tasted stale and old.  I asked if  I could get fresh steak and he said"" it was made today"".  Sooo, since I couldn't get it cooked fresh,  I asked for beef. I asked what kind of beef it was and the guy said shredded so I said I""ll have that with no onion.  10 mins later a different person comes to the table and asks me If I ordered steak nachos, no onion.  I told him No that I didnt like the steak and I wanted the beef.  So he leaves the table and goes back behind the counter and I hear all the employees talking(in Spanish of course).  Then, they sent a  third person to the  table and tell me  that they already made the steak nacho and they are just going to give me my money  back.  I told the worker, why If I didnt like the steak why I would order it again??  I told him to just give me my  money  back and that I would never be back and I would write a bad review.  While I am waiting on  my refund, I hear the worker telling everyone in the back that I said that I would write a bad review.  He was mocking me and told his co workers that he said ok.  I will never in life visit this establishment again,  nor will I refer anyone.  The service was terrible and the food was just as bad.  Customers are always # one, and they do come first.  This first time visit, turned a new customer into a never to return one!! All around bad experience!!   I had to leave a star to leave the review but I give Taco Sun In Tampa 0 Stars",-0.9899
"Was one of my favorite spots until the over charged me and I went to speak with management. The staff needs to take a course on how to properly deal with situations like this. I won't be returning, nor will anyone I know. Very unprofessional and very disappointing.",-0.5245
"I'm so easy to please when it comes to Mexican food, and this place was the worst.  The entire dining experience can be summed up by the following interaction with our server at the end of the meal:
""Did you enjoy the food?""
""Ehhhhhh.......""
""Yeah we've been getting a lot of complaints!  We're new so we have a lot to work on.  Should I bring your check?""

They're bad, they know it, and they don't care.  A run-down of what went wrong:
- Upon arriving, we're told all of the things they are out of.  (Almost half the menu)
- I order one of the remaining items, and am told they're out of that too.
- Server comes to our table to express surprise that we don't have our food yet.
- Server brings our food, both orders are wrong, but she's gone before we can let her know.
- Server is nowhere to be found, I eventually go inside and ask a bartender to please send our server over. (We sat on the patio)
- My problem would have been easily fixable (missing salsa) but server takes so long in getting a cup of salsa that my food has gone from barely lukewarm to very cold by the time I have my complete order.
- My boyfriend's dish had to be completely remade.  This is the amount of time I waited to receive the salsa that was missing from my tacos.  (At least his was served hot, unlike mine)
- The above mentioned exchange regarding the poor dining experience.
- Server drops off my credit card receipts to sign, with no pen, so again I'm inside at the bar asking for a pen.

When a customer tells you they're dissatisfied with their meal, do SOMETHING.  Take something off their bill,  Give them a free dessert.  Give them a coupon to come give you another chance.  But to just say ""Yeah, we've been getting a lot of complaints!"" is unacceptable.  I doubt this place will be around for long, and I'm fine with that.",-0.8843
"I decided to go here last night (02-11-16) because i didnt want the typical fast food i really was craving nachos plus my 2 older sisters always talked about ""how great"" the food was here. So i said hey why not thinking that my experience here would be like their experience if not better but boy was i wrong. I ordered the nacho supreme with steak and also the shrimp ceviche and it was not what i thought it was going to be. Nachos-the top layer of chips were ok but as i got to the middle of the pile they started having this burnt funny taste to them. So i thought maybe its just these one or 2 chips but as i started picking towards the bottom of the pile the taste got more and more pungent on my tongue so much that i couldve even focus on any of the other flavors. Scratched the chips out of the equation- so i just used my spoon to eat the toppings. Everything was good until i ate the steak, oh excuse me the beef jerky. That steak was so dry rubbery and inedible that i gave up altogether on the nachos, it was a loss cause... I was super pissed that i couldn't even enjoy it. So i figured the ceviche would make up for such a bad experience with the nachos. Wrong again!!! The first taste of the ceviche was so powerful i thought i was eating sour candy. My mouth filled up with so much saliva from eating this overly lime tasting dish i was almost in tears. I thought ok maybe i should stir it up considering i just took the top of and jumped right in. Stiring stiring stiring just to make sure stir again....  Grabs chips dips in (just the sauce) bites the chips... Mouth goes in eyes start watering spits it out... Grabs another chip get just a shrimp (maybe its the sauce) bites the chips miss again.... Im so disappointed in this its crazy... So i told my nephew if he wanted it he could have it but I went to bed mad hungry and with a bad taste in my mouth (in more ways then one)... Lets just say the food went  in the trash this morning after my nephew told me his jaw was hurting after trying to eat the ""mystery meat"" (and he's 10) so i dont think that ill go back here...",-0.8511
"I wish I could give them negative stars but since 1 is the minimum I guess it will do. We sat down for 15 minutes and no waiters came to our table. Meanwhile, another table sat right next to ours and miraculously their waiter appeared immediately. Our waiter finally showed up and we placed our drink orders along with food. After waiting for another 15-20 minutes our order had still not made it to our table while our waiter was busy talking with the table next to ours. I tried to get her attention but obviously the conversation with her other customers was more important than attending other patrons. All in all, terrible customer service to the point where my family and I just got up and left without water, drinks or food all after a 30 minutes wait.",-0.7013
"I ordered from here a while back with Uber Eats and what I had delivered was horrible a stack of soggy chips for my nachos. I wrote them and never heard back. Horrible customer service.",-0.1655
"Food is mediocre and the service was horrible.  My husband and I no sooner put our forks down from finishing our meal when we were asked to leave so space could be made for the incoming dinner rush.  Inexcusable service, we will not return.",-0.7096
"Came on a Thursday night, place was about half full.   We were seated within 1 minute, table for 2, but for unknown reason we were then completely ignored for at least 15 minutes.  No server came by the table to even say ""hi, be right with you"" let alone get our drink or food order.  Other tables around us were being attended to.  Got the message we weren't welcome as customers, so got up and left. Won't be coming back.",-0.8981
"They charge for chips & salsa - most mexican restaurants do not.  $9-10 for a teeny tiny bowl of guacamole. The Hablo Salad was the size of a side salad - arrived with no chicken, no roasted corn salsa, no jicama, stingy on the other ingredients.  The Honey Lime Vinaigrette was awful.  The salad was inedible.  Left and went elsewhere for dinner.",-0.8807
"This place got me once  , but they defiantly  won't get me to ever eat there again... Period..l have to say the servers were great , but the food was not ... lt was not worth the price they want to overcharge you per plate, especially for there horrible overcooked food non tasting food...lf l were you l would Go eat someplace else and get your money's worth with good food ...l was very, very disappointed with this Mexican Restaurant ...and l wouldn't want you to go and waste your money on a place like this...",-0.494
"Terribly flavorless food. Avoid at all costs. Make your way down the street to Chipotle if you want fast Mexican food that tastes good.",-0.3818
"Awful establishment. Refuses service. This is literally the only Taco Bell I've had problems with.",-0.6908
"Not impressed. Chips cold. Salsa flavorless. Burrito had little meat, mostly rice. Don't care for crushed ice instead of cubes. I rate this as a no.",-0.6187
"Not so great. Disenjoyed several soggy, bland, and little meals here before deciding it's not going to improve. The cheap beer is the reason this place stays open. Do not recommend.",-0.7922
"Very sad to see Hablo Taco go downhill, my fiancé and I have been weekly customers for the last 2-3 months... both service and food quality has gotten worse and worse each time. Our last visit was by far the worst !! Taco meat is usually quite good but this time it looked like a hamburger cut in four pieces,  we will give this place one last try but I am not optimistic",-0.8007
"Went to this location last Tuesday for the Dos Tacos special.  Got 4 blackened chicken tacos.  Blackened chicken was VERY DRY so I asked for some salsa to moisten it.  Was told that will cost you $2.00!!!!!!!  For your dry mistake???????? Really   .. so we ate them as is.  NOT GOOD. Contacted the TF website and was contacted back by the new Manager Jason. Apologized... no more.  STAY AWAY. Try the TF in Oldsmar... I hear they are much better and know how to treat their customers. This Westchase location is a disgrace as is their servers. Jason... shame on you. Please do the right thing the next time for your next customer. Stop serving DRY chicken.  I am sure a salsa would not break the bank. Instead  what you did is lose a customer.  I will be sure to tell all my neighbors to go to Oldsmar. Good luck Jason...   you will really need it  with the customer service that you provided.  I mean lack of. .. Jason called back again/ unsure why  .. still clueless. DO NOT CALL US ANYMORE.",-0.6341
"Chicken in tacos was tough, no flavor. The burrito was tasty but cold. No ice or water in machine.  We won't be back.",-0.5647
"Terrible food combo all processed and canned food nothing fresh or green! Usual fresh topping missing! The combo taco and enchiladas were just blob of beans & cheese! Excessively sized portions, they nickel & dime you for any usual toppings like lettuce. Jalapeño tomatoes etc..
Terrible service inattentive rushing thru orders waited 10 min for slice of lime and the bill! 

The atmosphere and decor is festive in an open space but the quality of food & service are just unacceptable!

Don't waste ur time & money!

Felt grossed out leaving the place re food!",-0.7705
"I hadn't been to Vallarata's for about 2  years or so  when they first appeared here.  The food back then was pretty good.  Just went recently to get some $1 tacos and they were gross.  Taco shells were cold, never heated and the re-fried beans had no taste to them as well as nothing much in the taco, just some iceberg lettuce.  Salsa was watery and I had to try to use that for some taste in the taco which made it a complete mess.  This isn't Mexican food one bit as there is no taste to it.  We will stick with Tijuana Flats for quick Tex-Mex and for Taco Bus when we want real Mexican food.",-0.128
"Sticky floors, smelly tables, dirty bathrooms. Gave it a try on two different occasions and it was the same.",-0.4404
"My husband took me here for mother's day lunch. The place it beautiful but the food was not the greatest.  We left dissapointed but we know now not go again.",-0.477
"Not impressed. Ordered the veggie taco plate. It was supposed to have grilled vegetables. We couldn't find them in either taco. They were small tacos, little flavor. A disappointment.",-0.6783
"Channelside resident review...

Complete fail. Six of us rode bikes from down the road. We were told to leave by the manager after putting our bikes out front. We only did this after there were no spots in bike rack. Another epic fail by Channelside. New owner...same experience.",-0.8555
"Came here because the line at a restaurant nearby wasn't moving. Line was minimal despite the lunch hour and packed dining area. +1 pt

Saw what appeared to be a fresh salsa bar. +1 pt

The menu looked has healthy fresh item and standard beef taco, burrito etc items. +1 pt

Food came out super fast. +1 pt

Taco ground beef meat was very oddly pale. -1 pt

A FREAKING ROACH CRAWLED OUT FROM UNDER THE TABLE  NAPKIN DISPENSER. Not a big outdoor palmetto bug a little dirty dining, how-disgusting-is-this-place if-your-dining-area-has-bugs-how-dirty-is-your-kitchen and what illnesses am I going to catch roach. -10pts

I am so grossed out.  Never again.",-0.0016
"Yukk!!! Typical terrible Americanized Mexican't Food!

Its a chain and not ""Mexican"" its crap american mexican!
The wife and I got sick that night and the next day! 

Wont go back EVER!",-0.7494
"Was staying at hotel across street, got in late(11pm) and hadn't had dinner yet. Hotel restaurant was closed already and other restaurants within walking distance were closed as well. Hotel staff suggested the Taco Bell across street was open late.

Walked across street to Taco Bell. Sit down area was closed but drive-thru was still open and doing business.

Walked over to Drive-thru to place order. No one at the order location box would respond. Walked over to pickup window.

A Taco Bell employee opens the window and says, ""We don't serve walk ups"".

Explained that I was staying at hotel across street and showed him I had cash (to pay for my meal). He repeats same line and just stands there with the window open.

I plead my case about I hadn't had dinner yet and was just trying to get a late night meal. He just stands there and repeats the same line again about not serving walk ups.

I don't know what this guy's problem was. If they're afraid of getting robbed, I showed him I had cash and fact he's standing there with the window wide OPEN, that doesn't appear to be the case.

There was NO ONE in line behind me and NO signs that they don't serve walk ups.

I saw there was another review about terrible service at this Taco Bell. Maybe YUM Brands (owner of Taco Bell) should consider revoking this franchise's license...",-0.9604
"Second visit to this restaurant. Staff was very rude and obviously judgmental. The older bartender in particular made a very rude comment to a friend of mine. Food gave us all bad heartburn afterwards. Would not recommend!!",-0.8618
"Rude hostess. Extremely unaccommodating, we were told there was a 15 minute wait when half of the restaurant was empty. That's fine, we understand if you're short-staffed, but there's no need to be rude, especially when you're working in the service industry. I asked if we could at least sit at one of the tables while we wait, even offered not to get service until they were ready. I work at a restaurant and let the hostess know, only to have her rudely state, ""That's cool."" We left right after. I don't know how a place so unorganized can succeed.",-0.6315
"Just had lunch here yesterday. Ordered the burrito and was the size of a ""hot pocket.""
Received a side order of the beans and it was like soup. Very disappointed. Wife's order came out with burnt edges. Not pleasing. Ordered side of guac....not very good. Did not see waiter again til he brought the check. Will not see us either....not going back.",-0.122
"I my last experience with the one on 54 was not good ar all and my family has been there maybe 20+ times,  the last draw was seeing a cocktail roach at our table. 
So,  my wife and her friend and I go up for lunch,  sit down and order.  No problem.  Our food come out and we are and couple minutes into it and crawling up the wall in he's from us is a bid frigging cockroach.  I wave the floor manager over and he takes a towel and grabs it and walks away.  Doesn't  say sorry or nothing!  We all look at each other and we're like ""let's go"".  Can u believe they brought us the check and made us pay full price.  Never again......",-0.2677
"Came from Chicago on vacation a friend recommend this place. I ordered a steak burrito with cheese, beans and tomatoes to go. THEY FORGOT ADD THE MEAT! 

Need i say more....

Sadly disappointed",-0.126
"Worst experience. We went for cinco de mayo. That being said it wasn't even that crazy. They were obviously featuring margaritas on their specials. They were the WORST I have ever had. Way to much sour mix, odd flavor.... and no salt rim. Bartender was ASTOUNDED and rude when I said I wanted a salt rim... yeah won't be back",-0.8646
"Had real bad service ordered 5 chicken tacos and on 5 separate occasions they couldn't get the order correct. Finally on 5 order I gave up. Then in this whole thing a lady from the back comes out and proceeds to yell at me because she can't get the order correct.  I think the best is when she brought me 3 tacos and said here is your 5 tacos; insult my intelligence like I can't count.  Well if you want bad service, food and yelled at then stop by this place!",-0.5432
"So, as Lightning season ticket holders, we were thrilled to hear about a new dining option. Stopped in at 2:20pm before a 5pm game. Lots of tables open, but we were told we couldn't be seated due to lack of wait staff. We asked if we could sit and have a drink and we would wait for food. The hostess went to ask someone if that would be ok. While she was gone, another hostess say a couple immediately! Our hostess returned to say she could seat is, but couldn't serve us drinks right away, and would then move us to order. What???!  We walked out. 
I don't care that you just opened, which the hostess explained was the problem. You just lost 3 patrons that will tell 20 people each, not to eat at your ealstablishment. Way to go Hablo Taco, you could and should have handled this situation in a much different way.",-0.8937
"I have no idea how they  are in business to be honest, me and my wife tried this Restaurent yesterday,  food was pretty bad with no taste and flavor, I can say their food taste is pretty dead. Not returning back!",-0.4199
"I recently moved to Tampa and I was on the hunt for good tacos. Fuzzy's came highly recommended to me. I spent $11 for for tacos. I have had McDonald's hamburgers bigger than use tacos and they weren't that great. I'm extremely disappointed in this place",-0.4007
"Don't bother to come here just for the Taco Bell, they gouge the prices and don't do happy hour, they raise the prices about $1.50 for almost every item",-0.2411
"Yuck.  Hablo Gross. 
Wife ordered Steak tacos that clearly came out as Barbacao.  However, this may have been the driest barbacao I have ever had.  Nevermind that it wasn't even what she ordered....It literally was hard to swallow because of how dry it was. 

Had a Gringo dip as well...and I must have been a gringo for ordering it.  Disgusting. 
Will not return.",-0.6369
"Vegetarian. Ordered two veggie tacos there were no grilled veggies in them (menu said there would be grilled veggies)/tacos had absolutely no flavor.  I also ordered black beans as a side - cashier said they were vegan, found a piece of meat in my beans.... (pictured). Disappointed bc I looked forward to trying this place. Won't be back.",-0.7579
"The food is good but the staff is not. Had the most uncomfortable dining experience with the waitress telling us her life story on how she has no money and everybody at the restaurant makes fun of her. The drinks were wrong. The food was wrong. Had to use our same cup for all you can drink margaritas and they got messed up. As it unfolded, the management watched everything yet didn't handle it and wouldn't help the poor girl even after all the mistakes. The bills were wrong. In fact, someone from our table went into the kitchen to fix the bills correctly. Hot mess express. And we paid full price for our meals despite it being a disaster.",-0.9546
"Now I see why this location has such terrible reviews. They never have steady workers and are constantly having new people and 7-10x they are friendly. Except for today. Went through the drive through and it was taking longer than normal. No biggie. Placed my order and she missed an item and got irritated with me as I brought it to her attention. She told me my tolls and asked me to pull up. Again, waited my turn as it took longer than normal. Once I got to the window you could tell she was irritated and did not want to be there. Handed her a $20 as she gave me my change. Asked if I wanted hot sauce I said, ""yes please! Lots of hot."" She went about her business than said, ""you want fire right"" I said, ""no. Hot please"" I was handed my bag as she was talking on the intercom. I looked in my bag as I had ordered 5 items they were all there with 3 packs of hot sauce. I politely waited until she was done speaking and asked for more hot sauce. She got upset and said it's in the bag. I said yes, 3 May I please have more. So, she rudely hands me 3more. So of course I say nvm I will just go inside and get them myself. ASI Park and walk in I hear he talking about me with the other coworkers and thinking it was funny that she gave me so few. Very disappointing that I come here often and am treated so rudely. Guess I'll be going elsewhere from now on.",-0.9198
"His place is terrible. If you want to waste your money on under seasoned and extremely overpriced ""Mexican"" food with the smallest portions possible- then by all mean this is the place.  The churros at the end of the meal was nice.",-0.4215
"The food is so bad, I really don't understand how everything tasted so awful. The brisket has a strange taste and everything else is bland. Somehow they've even managed to mess up nachos. Please add some seasonings to your food.",-0.8849
"The place is disgusting. The food is better at Taco Bell. The people that work there are also miserable. Steer clear!",-0.3382
"Worst tacos Mixon   cheese was burned beyond what cheese looks like.  Steak was rubbery.  Tamale would not come out the husk...HORRIBLE",-0.3818
"Waited 45 minutes at the drive thru, surely employees, and overall poor service. I would suggest eating in if your gunna go here ‍",-0.0516
"Moes has gone downhill over the past few years. I stopped by this one since its close to my house. I saw a long black hair around the squeeze dressing bottle behind the glass and wanted to barf!!!",-0.4168
"Went back again. Chips still inconsistent with most of them stale. Salsa is flavorless and has a bad flavor. Queso bland. Guacamole tastes okay. Afraid to order a margarita as the bartenders working have made bad ones at my last visit. If you are open for two years and move to another location, at this rate no one will follow this restaurant anywhere.",-0.8074
"Went here about a week after opening. First, we stood at one of entrances as employees walked by us, not telling us where to go or who wohld seat us. About 15 minutes in, finally someone takes us to our seat. After getting cheese dip the server disappeared for another 20 with out taking our order.  If this place was crowded I would understand but it wasn't even half full.",-0.1154
"Created a Yelp just to tell everyone how absolutely terrible this sad excuse for a restaurant is. By far the worst dining experience ever. Server had maybe two tables but still couldn't be found for hours. The staff is beyond rude, no manager to be found, and even if you refuse to eat the dog food, microwaved, flavorless, dry, cold, trash that they serve you, you'll be paying full price. Never ever ever ever eat here. -traveled all over the US and Mexico with 2 years restaurant experience and its the worst food and service I've found. not to mention many people get sick here. FOOD POISONING WAREHOUSE STAY AWAY.",-0.9868
"Worst experience ever.. one of the men was extremely rude when i was trying to redeem my groupon he acted as if i was trying to scam him just because my internet was down. Apparently being a female brings out hostility out of him. I would have understood if i was being rude,but he was presumptuous and obnoxious. I end up cancel the order even though he offered the sodas for free. I paid for them. I have been in the restaurant business for 16 yrs and he acted as if i was insignificant woman. The rudeness of that man speaks volumes.",-0.9647
"I ate here yesterday and got food poisoning. Like usual, I ordered the queso burrito bowl with chicken. After about 20 minutes, my stomach started killing me and I've been bed/toilet ridden ever sense.",-0.7717
"Really wanted to like this place, but it was disappointing. I had the tacos with ground beef and various toppings. They had no flavor. At. All.  The queso had no flavor either. I got chips with my meal but they were mostly broken bottom of the bag chips. Salsas didn't taste good either.",-0.9458
"Spent $200 on Mexican food!! Unimpressive Mexican food. Regurgitated Cysco crap and watered down drinks. A complete disappointment. Because we need a decent Mexican restaurant in these parts. If anyone knows where to find great Mexican food please advise.",-0.3578
